"id","catalog.meta","resource.meta","type.meta","data_type.meta","timestamp.meta","timestamp_iso8601.meta","source.meta","source_filename.meta","fiscal_year.meta","classification.meta","@monetaryUnit.record","value.ProgramElementNumber.record","value.ProgramElementTitle.record","value.R1LineNumber.record","value.BudgetYear.record","value.BudgetCycle.record","value.SubmissionDate.record","value.ServiceAgencyName.record","value.AppropriationCode.record","value.AppropriationName.record","value.BudgetActivityNumber.record","value.BudgetActivityTitle.record","value.PriorYear.ProgramElementFunding.record","value.CurrentYear.ProgramElementFunding.record","value.BudgetYearOne.ProgramElementFunding.record","value.BudgetYearOneBase.ProgramElementFunding.record","value.BudgetYearOneOCO.ProgramElementFunding.record","value.BudgetYearTwo.ProgramElementFunding.record","value.BudgetYearThree.ProgramElementFunding.record","value.BudgetYearFour.ProgramElementFunding.record","value.BudgetYearFive.ProgramElementFunding.record","value.CostToComplete.ProgramElementFunding.record","value.TotalCost.ProgramElementFunding.record","value.ProgramElementNote.record","value.ProgramElementMissionDescription.record","value.ProjectNumber.Project.ProjectList.record","value.ProjectTitle.Project.ProjectList.record","value.PriorYear.ProjectFunding.Project.ProjectList.record","value.CurrentYear.ProjectFunding.Project.ProjectList.record","value.BudgetYearOne.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneBase.ProjectFunding.Project.ProjectList.record","value.BudgetYearOneOCO.ProjectFunding.Project.ProjectList.record","value.BudgetYearTwo.ProjectFunding.Project.ProjectList.record","value.BudgetYearThree.ProjectFunding.Project.ProjectList.record","value.BudgetYearFour.ProjectFunding.Project.ProjectList.record","value.BudgetYearFive.ProjectFunding.Project.ProjectList.record","value.CostToComplete.ProjectFunding.Project.ProjectList.record","value.TotalCost.ProjectFunding.Project.ProjectList.record","value.EventTitle.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Quarter.Start.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Year.Start.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Quarter.End.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record","value.Year.End.Schedule.ScheduleDetail.ScheduleDetailList.R4aExhibit.Project.ProjectList.record",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Establish baseline evaluate and transition novel processed ration components","1","2013","4","2014",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Field evaluation of Multi-Functional Secondary Packaging","4","2012","4","2013",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Transition of Advanced Appliances for Field Kitchens- DV of Prototypes","3","2013","3","2016",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Finalize Packaging Requirements Based on Producibility Tests","1","2013","4","2013",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Field evaluation of Alternative Polymer Processing Technology (APPT)","1","2013","2","2014",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Modify Production Change Request (PCR) of APPT and Transition to DLA-TS","4","2014","4","2014",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Draft SOW and award contract for Navy Food Service Analysis Tool","3","2014","3","2014",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Conduct in-house tests & evaluation for Navy Food Service Analysis Tool","4","2015","4","2015",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Identify candidate burner technology for potential integration into comm","1","2015","2","2015",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Identify procure and evaluate candidate burners for tray ration heater reset","1","2015","2","2015",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Technical evaluation for heat exchangers in EFK; procurement of nesting sinks","3","2015","4","2015",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Test Joint Inter-Service Burner in a high fidelity realistic operating environm","3","2014","3","2014",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Develop Engineering Change Proposal for Diesel/Electric TriCon Refer System","4","2017","4","2017",
"cb3b40628628387c7e115f55d322c5d9","dodbudget","rdte-amended","2015","record","1418676856","2014-12-15T20:54:16+00:00","http://comptroller.defense.gov/budgetmaterials.aspx","RDTE_JustificationBook_Army_PBAmended_2015.xml","2015","public","Millions","0603747A","Soldier Support and Survivability","61","2015","PBAmended","2014-06","Army","2040","Research Development Test & Evaluation Army","4","Advanced Component Development & Prototypes (ACD&P)","15.936","11.685","14.102","9.602","4.500","10.582","10.774","11.368","9.689","Continuing","Continuing","Note: FY 2013 Previous President's Budget (FY 2014) amount shown in B. Program Change Summary is an electronic error and should be $10073.","This program element supports component development and prototyping for organizational equipment improved individual clothing and equipment that enhance Soldier battlefield effectiveness survivability and sustainment.  This program element also supports the component development and prototyping of joint service food and combat feeding equipment designed to reduce logistics burden.","610","Food Adv Development","3.576","5.185","3.482","3.482","","4.818","4.904","5.499","5.080","Continuing","Continuing","Build standalone capability for Diesel/Electric powered TRCS","1","2017","3","2017",
