"Name_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","7","5.637","12","11.4","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-36895f74d5013713b1bc98446492c8ef28eaad4d","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-7edfef52c0a11012682dad6c2be755020a6ed825"
"Air Force Active","","","2","0.94","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-a3231ed0b492864738c2f9c275bf86c1e33bb2b3","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-ab270664dac1e9af1d7ed11ad402e5704cd71495"
"Air Force Reserve","","","2","0.94","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-567bc6887b8cbaf19ba28311866eb6a08abb4080","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-ab270664dac1e9af1d7ed11ad402e5704cd71495"
"Air Force Active","","","","","170","8.443","170","8.443","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-b9809e7ea9a7eb16b542b4ee373c088427fa48fb","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-ae3ff8cd14d3c8dcd88d7f7656794cd40fe39d5f"
"Air Force Reserve","","","","","8","0.397","8","0.397","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-5c548cb3a11f8bdbc7b8f7ff4ea2cf4a2848a1e4","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-ae3ff8cd14d3c8dcd88d7f7656794cd40fe39d5f"
"Air National Guard","","","","","10","0.497","10","0.497","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-2-a3adac499a2610701d86d5aec99ccbb87c08772f","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-ae3ff8cd14d3c8dcd88d7f7656794cd40fe39d5f"
"Air Force Active","","","","","","0.05","","0.05","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-b1bfd155b1d9f8047dc5a8186c9c4309343e7af3","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-2-bcba058802a79f8a6165df26b307ad83efc25771"
"Air Force Active","","","1","3.178","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-d94d6591bd0c954ef5c4519b318375a5f9fdaadb","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-384c66a396b45245dcc7b417f4eb5a0d88b52334"
"Air Force Active","","","","","","0.076","","0.076","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-b13cd3a2d919de6416d4a7ad676dea4709ac8723","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-cdb88326d14bf2514134ccaa1daadf5af78dba20"
"Air Force Active","70","1.023","70","0.832","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-980e14c8c6aa241cc1023e3c1406a9a543aacf93","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-2-a0f8781eda43df3cbddfa96a7e2420b829dadff0"
"Air Force Active","","1.045","","1.045","","0.02","","0.02","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-5446280b550da260b8b9dbbd65e00923dbd662a7","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-3-54f8bd742eacd3dbbde465df1acad63c1f99d765"
"Air Force Active","3","0.888","1","0.473","18","2.167","18","2.167","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-cc19177e5c932b2aa0486cda2bb3e4f369b757cb","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-4-320c2433bb86ab05388060abfda1ec965bc5995e"
"Air Force Active","","","","","8","0.293","8","0.293","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-566205353ed0c21deb2f90321bc97e339c840e3e","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-5-9a33c60d03202de2b81111044c3aca49018bd7b9"
"Air Force Active","13","3.092","2","0.561","12","1.893","12","1.893","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-23e2e012204cde0bb94dc998105dd69fda2e90d1","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-7-35ae1dad1887273ed8bd9bca16ca089d8d295d7d"
"Air Force Active","10","0.033","","","16","0.068","16","0.068","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-5691e32ebdfa47260d94d3ef120d871abf84cac4","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-8-47be963d83cc1b5e29fb2d2b4d112cf38ea71971"
"Air Force Active","","","","","12","3.174","12","3.174","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-8b5d636895b20439db867782b3b91c637af3c3b3","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-9-dc9968edc7e7759bf6398d61a05e506ab649906e"
"Air Force Active","4","1.278","1","0.333","7","2.45","7","2.45","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-871934b4e74ce63b9fa955259b2c5bf089b09a86","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-10-9221a2aaf1904efa2fd9c1ca40423aa019699c37"
"Air Force Active","1","0.014","","","4","0.084","4","0.084","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-a0559820b3757ec1976d2360324770acbd85336f","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-12-fb013b8770cb1afaced41b076218c142547442fa"
"Air Force Active","","","1","0.578","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-3cd0e343b2c9acf7166b287832c755845bab1441","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-13-d0c29d618f9431cee4ecc1f41cad8cedcdbce56f"
"Air Force Active","117","32.497","14","3.955","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-ad4f3084518bb0bd96c5ac5aec0266a5020fa59e","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-2629362a2011c0eb2d4cb88b98e6da84185ecb9b"
"Air Force Reserve","22","6.11","3","0.847","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-e89684a9b0e3300fe3766b4bb025ba59380eace9","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-2629362a2011c0eb2d4cb88b98e6da84185ecb9b"
"Air National Guard","40","11.11","8","2.26","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-2-91a46b8598dddb88cdfcac683598d5cf9f3a0c8f","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-2629362a2011c0eb2d4cb88b98e6da84185ecb9b"
"Air Force Active","","","","","","0.015","","0.015","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-e7386589349f95a06a3cc446b6793d830b1d4019","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-f051ce121b60c3d6c9b29b43680b60db9e426f80"
"Air Force Active","1","9.5","","","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-0a32b08d4c6901e2a5d54421079eec4b4f478a82","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-41ef68cd0823ae7595acccf886cd79251ad82574"
"Air National Guard","","","","","1","0.361","1","0.361","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-dabf11fcfe14b0f0222ad581721612fce4400daf","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-95edec72982a2df3df2818034ffd8f8a9555a1b3"
"Air Force Active","","","","","1","0.05","1","0.05","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-45cc2e62aa7d13c9ae7e26564551bc1782175ec8","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-1-8abe337a41483fa8f5421171018e773e7c3a08d0"
"Air Force Active","5","12.722","3","7.8","","","","","","","","","","","","","","","","","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-819f7d11a93d2b77e8a5b5e455940ce250b970ae","47095650b1c28567be35fb43aaf8b0d60d3068ea","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","47095650b1c28567be35fb43aaf8b0d60d3068ea-0-e73bda98ff5d29b4fe4ace36fccbeb355c427efd"
"Air Force Active","","0.000","","0.000","","1.335","","1.335","43.263","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-b2c3d90fcaaa68ee78f65d0228072cd024d2ffc1","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-8df3b2bfe743ab5d08513f3ed6403e0f6dd9e03f"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","3.478","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-3dd459e5362b68a2dc35a142f09b8908af9b2717","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-8df3b2bfe743ab5d08513f3ed6403e0f6dd9e03f"
"Air Force Active","","154.841","","0.000","","0.000","","0.000","453.346","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-a4a40ded38ef2e93075efb8f28f61d65ccf9d0ad","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-9cc73fea8ea5dcfe5b1017d77d5a4fb1d77ede6d"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","212.178","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-518b0144647fbd8b8f23cfd43627c6d8b2d31b9c","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-9cc73fea8ea5dcfe5b1017d77d5a4fb1d77ede6d"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","123.639","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-15da42ad52b9256a970c9615ff21a47789b05e34","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-9cc73fea8ea5dcfe5b1017d77d5a4fb1d77ede6d"
"Air Force Active","","0.000","","3.471","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-e5b325f90568d0b21e6e93e75d36f007cb215572","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-f724fdd3dc49b5f23fc324a0cdfc0be449c5488d"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-e9ab1f96297981f049307e77416ec8ce610c31e4","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-f724fdd3dc49b5f23fc324a0cdfc0be449c5488d"
"Air Force Reserve","","0.000","","1.929","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-247f0ebf9a1d8bfc027d3a4bfbc8432a29aa1779","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-f724fdd3dc49b5f23fc324a0cdfc0be449c5488d"
"Air Force Active","","0.000","","0.35","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9efab971f6676177958f44e6540f3ada0999bc05","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-3-0853084e0756e20ad1ff5d466a3e15184a136da1"
"Air Force Reserve","","0.000","","5.65","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-f9cf8dd9c2a62c2145bd61a7a9a2ace996bd990f","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-3-0853084e0756e20ad1ff5d466a3e15184a136da1"
"Air Force Active","","0.000","","0.000","","0.000","","0.322","0.000","","0.322","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-5453ef4863463fe4f13f2f0f27d778b086e26228","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-4-3b9de41d844369c3cd39f2bc4d8679ca3a96bc7f"
"Air National Guard","","0.000","","0.000","","0.000","","0.936","0.000","","0.936","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-70fdce505bce540a2589a9f20f313bbfe48cb808","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-4-3b9de41d844369c3cd39f2bc4d8679ca3a96bc7f"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.36","0.000","","0.36","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-fe05b1e79bb461ea45f000a39294adc66e251de2","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-4-3b9de41d844369c3cd39f2bc4d8679ca3a96bc7f"
"Air Force Active","","1.895","","0.09","","0.000","","0.000","2.95","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-a592490312cf30d910ee2cd117ee07345e370b7b","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-5-ade12af939a999f46ddfed82cc9ce7b246705daf"
"Air Force Active","","0.839","","0.158","","0.000","","0.000","9.011","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-7b0b81661139db3d7e1ba5d629fead480a7b2284","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-6-bef2486d4ea1b48f2c46cc949fd06caa684dbc52"
"Air National Guard","","1.545","","1.72","","0.000","","0.000","5.048","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-ea606399054c22f19644bbeae2eb170806a7830d","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-6-bef2486d4ea1b48f2c46cc949fd06caa684dbc52"
"Air Force Reserve","","1.035","","0.000","","0.000","","0.000","2.705","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-13f96941f75799e57d6cb8524ca1634847113807","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-6-bef2486d4ea1b48f2c46cc949fd06caa684dbc52"
"Air Force Active","","0.000","","0.000","","0.398","","0.398","7.164","","0.000","","0.539","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-a25d00f316f7976cc85dcbdd9de63c857aa9a9fc","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-7-270b015b741fea40961c371c28f81c2ef9bf6a7c"
"Air National Guard","","0.000","","0.000","","1.059","","1.059","8.662","","0.000","","1.662","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-38cafd4b18ba30ca146c90e20fd2f8acb22dc025","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-7-270b015b741fea40961c371c28f81c2ef9bf6a7c"
"Air Force Reserve","","0.000","","0.000","","0.838","","0.838","5.964","","0.000","","1.033","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-3a8964f1a992a7f341412c5fe302da074a6ea23e","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-7-270b015b741fea40961c371c28f81c2ef9bf6a7c"
"Air Force Active","","1.786","","0.000","","0.000","","0.000","4.732","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-7a5b32c4bf06a4dd4a1018a526f06b3a1134d7bf","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-8-5dafc4577d52514aac8116d58937260d76fc24e2"
"Air National Guard","","5.3","","0.000","","0.000","","0.000","1.593","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-0e64c2791231852ff57fb2059b6777938aa570f5","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-8-5dafc4577d52514aac8116d58937260d76fc24e2"
"Air Force Reserve","","3.794","","0.000","","0.000","","0.000","1.946","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-ea4afb461c6f67fbde340bd822d18fd9f7aff1f5","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-8-5dafc4577d52514aac8116d58937260d76fc24e2"
"Air Force Active","","0.000","","0.000","","0.125","","0.125","27.48","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-a2f33c123b6f96aed11a710f4b9152da31df6078","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-9-b9b3ae4841e04b4c22aa5753e93cb7e27a7f5f4e"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-873c5974f94d3793722afc5975223d78f6f977d4","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-9-b9b3ae4841e04b4c22aa5753e93cb7e27a7f5f4e"
"Air Force Reserve","","0.000","","0.000","","0.000","","0.000","3.52","","0.000","","0.000","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-d488799e497071a7e21de289b8302723fe6a1953","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-9-b9b3ae4841e04b4c22aa5753e93cb7e27a7f5f4e"
"Air Force Active","","0.000","","0.000","","1.281","","1.281","8.44","","0.000","","0.287","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-625540e3343b37391de3f8fef2201e4628f27ee8","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-10-a8779607c4e0f2f85513ec799f17579f9fafb52f"
"Air National Guard","","0.000","","0.000","","0.406","","0.406","5.2","","0.000","","0.448","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-8480604b2aa7927704bce60effaec91416ee8802","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-10-a8779607c4e0f2f85513ec799f17579f9fafb52f"
"Air Force Reserve","","0.000","","0.000","","0.294","","0.294","3.36","","0.000","","0.294","","0.000","","0.000","","0.000","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-2-0c742f4ee7b9c0e58e253e9aff7fbc383b12c8d9","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-10-a8779607c4e0f2f85513ec799f17579f9fafb52f"
"Air Force Active","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","21.186","","33.048","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-4316a3c483197a82d5ede4b0c8da46702c0e2ff5","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-11-06983aeab88cc0d1fef9e6d5621999d53706c975"
"Air National Guard","","0.000","","0.000","","0.000","","0.000","0.000","","0.000","","0.000","","0.000","","6.056","","16.212","","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-1-15c1d36746ca86b20b1d489c6d238420694fdf1f","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-11-06983aeab88cc0d1fef9e6d5621999d53706c975"
