"Name_val","Location_val","Type_val","FacilityProjectList_FacilityProject","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Production Base Support - Lima","TACOM","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-b5a0b4ceefb60c6af7d7f6edbacb12844e177450-0-791073d7dcabaf2db4bbc6af50bd7f9e95e24268","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-0-a0e5830fd21333261d3bb7aa3a4f7ffcfaaf0e6d","b5a0b4ceefb60c6af7d7f6edbacb12844e177450","root","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-83118602bf8fb09fa86ffd83b6761236801aa5b6"
"Production Base Support - Scranton","TACOM","COCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-b5a0b4ceefb60c6af7d7f6edbacb12844e177450-1-ebc2167a22bd9b7738450db4a560ef6cb60171e4","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-1-880ec414032e8f8a8f0bd885a68096786e54fd8d","b5a0b4ceefb60c6af7d7f6edbacb12844e177450","root","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-83118602bf8fb09fa86ffd83b6761236801aa5b6"
"TACOM LCMC Production Base Spt Program","TACOM","","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-b5a0b4ceefb60c6af7d7f6edbacb12844e177450-2-1b6e2493e135576192613839c4dd17ae0bf69d50","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-2-ec2ff24338d030f4a8d880ba49cf253d8dd38499","b5a0b4ceefb60c6af7d7f6edbacb12844e177450","root","b5a0b4ceefb60c6af7d7f6edbacb12844e177450-83118602bf8fb09fa86ffd83b6761236801aa5b6"
"Iowa Army Ammunition Plant","Middletown, IA","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-c1222536309a6566516c4d9d2d4d17d6163e1554-0-c92456628edff1a9f42f2cc4980ed4bfb22a4fd8","c1222536309a6566516c4d9d2d4d17d6163e1554-0-a5dad11dae3ddc3fe159a7bcf0b63148b700ae13","c1222536309a6566516c4d9d2d4d17d6163e1554","root","c1222536309a6566516c4d9d2d4d17d6163e1554-6a8446b4ee83ffb0438ae92d8bb99b441c3aee73"
"Redstone Tech Test Center; White Sands Test Center","Huntsville, AL; White Sands Missile Range, NM","GOGO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-c1222536309a6566516c4d9d2d4d17d6163e1554-1-3b007217dba8239cfacb6b9d839527db2743bd46","c1222536309a6566516c4d9d2d4d17d6163e1554-1-466ed99ee37e75c50fc6ba65d3f358d2e631a205","c1222536309a6566516c4d9d2d4d17d6163e1554","root","c1222536309a6566516c4d9d2d4d17d6163e1554-6a8446b4ee83ffb0438ae92d8bb99b441c3aee73"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-02a36c8b441c045b777880d2682fe05ed2c19fd6","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-fe20f2480076582a8010c699ca276498b8de92f7","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Lake City Army Ammunition Plant","Independence, Missouri","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-398d978b41b43e94cd4dc11aae00a445e0ae3823","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-b57f6869a53d69a09448c2f6be8b4b1a26e801f1","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-e21769b3df7af001c0cf724e54170e8f94ccc94d","db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-6eb7fdc09cda2859f74f556a6d3907c70e7d61f2","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-a9bf1a7789bedd9a845050c8662541c1c15b7d74","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-c44a4708d97c74f41792dcf8f9f2874c31dc7e41","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-cc524a5b782456a2d7ae5a81fa8d490962130f17","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-c6a3a7b83b660780f52a476838c5150217a48eac","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Various Army Ammunition Plants","Multiple","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-3bf8d58fdc0c034c5738cf0645a7de54074a60ec","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-7b4683ab6c23f0787496ef36c85f044db9b71f3e","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Yuma Proving Ground / Aberdeen Test Center","Yuma, Arizona / Aberdeen, Maryland","GOCO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-db03939b42bd4866e2ea87cc7d70302ff577f5e6-7-6afd801a08899a5fe51fedbcadbe08ebf107ae75","db03939b42bd4866e2ea87cc7d70302ff577f5e6-7-84686bd1416448ce4ab804b656a0f2d946e78e24","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"GD-ATP/Watervliet/Rock Island PBS Provisioning of Industrial Facilities","Saco, ME","GOGO","root.record.FacilityList.ProductionSupportFacility.FacilityProjectList-e5ba122276593ba1e4077f83c1b8384f180921b7-0-975d7a212e3bfa8ce21351f12e87ab31ab7554be","e5ba122276593ba1e4077f83c1b8384f180921b7-0-197a5f1be06712cf5568e329cbe1b8f89eda686e","e5ba122276593ba1e4077f83c1b8384f180921b7","root","e5ba122276593ba1e4077f83c1b8384f180921b7-c437bb6f63a408aaaba5552b5b9e8cfe3e48f5b4"
